NÃO_NOTAR
NÃO_NEGAR
NÃO_CURTIR
NÃO_MOVER
NÃO_EMPURRAR
NÃO_ATIRAR
NÃO_ENCARAR
NÃO_AQUI
NÃO_MENTIR
NÃO_CHORAR
NÃO_FUNCIONAR
NÃO_BÊBADO
NÃO_VOLTAR
NÃO_LER
NÃO_GRITAR
NÃO_TENTAR
NÃO_MORDER
NÃO_TRISTE
NÃO_TÍMIDO
NÃO_ESQUECER
NÃO_PEDIR
NÃO_PAGAR
NÃO_GANHAR
NÃO_VENCER
NÃO_COZINHAR
NÃO_TRABALHAR
NÃO_PERDER
NÃO_FAZER
NÃO_VER
NÃO_MORRER 
NÃO_BOM
NÃO_RECICLÁVEL
NÃO_VIR
NÃO_CONFIAR
NÃO_OUVIR
NÃO_ESCUTAR
NÃO_PRONTO
NÃO_TELEFONAR
NÃO_EMBORA
NÃO_DESLIGAR
NÃO_BEIJAR
NÃO_OLHAR
NÃO_RESPONDER
NÃO_ARRISCAR
NÃO_LOUCO
NÃO_IDIOTA
NÃO_BOBO
NÃO_DOENTE
NÃO_CANTAR
NÃO_NADAR
NÃO_VOTAR
ACHAR_SIM
NÃO_CONCORDAR
NÃO_SONHAR
NÃO_ESTUDAR
NÃO_RONCAR
NÃO_TEMER
NÃO_ABRIR
NÃO_ACALMAR
NÃO_ACOMPANHAR
NÃO_ACUSAR
NÃO_ADIAR
NÃO_ADMITIR
NÃO_AFASTAR
NÃO_ALUGAR
NÃO_COMBINAR
não_gozar 
não_amar
não_ir
nao_comer
nao_vir
não_ler
não_sorrir
não_escrever
não_ouvir
não_pedir
não_receber
não_pensar
não_chamar
não_conseguir
não_aprender
não_perder
não_viajar
não_lembrar
não_subir
não_usar
não_passar
não_protejer
não_parar
não_fugir
não_colocar
não_esquecer
não_mexer
não_esperar
não_cantar
não_sair
não_vender
não_beber
não_dormir
não_sentir
não_brincar
não_ficar
não_dançar
não_cair
não_viver
não_comprar
não_começar
não_nascer
não_passear
não_voltar
não_olhar
não_desejar
não_fazer
não_ver
não_estudar
não_dizer
não_rir
não_correr
não_andar
não_chegar
não_saber
não_abrir
não_crer
não_pular
não_dividir
não_trabalhar
não_achar
não_acordar
não_fingir
não_procurar
não_sumir
não_nadar
não_participar
não_pegar
não_acontecer
não_desistir
não_ajudar
não_pagar
não_doer
não_vencer
não_sofrer
não_respeitar
não_crescer
não_mostrar
não_morar
não_morrer
não_chover
não_construir
não_casar
não_ensinar
não_discutir
não_preocupar
não_bater
não_entregar
não_entrar
não_continuar
não_ajudar
não_agradecer
não_convidar
não_apresentar
não_gritar
não_surgir
não_responder
não_limpar
não_acreditar
não_matar
não_perguntar
não_perdoar
não_resolver
não_arrumar
não_copiar
não_esconder
não_namorar
não_unir
não_iniciar
não_cuidar
não_lutar
não_terminar
não_pintar
não_atrasar
não_roubar
não_abraçar
não_cozinhar
não_banhar
não_vomitar
não_confirmar
não_obedecer
não_jantar
não_exigir
não_comunicar
não_parabenizar
não_enganar 
não_reclamar
não_desenhar
não_apoiar
não_demorar
não_presentear
não_provar
não_competir
não_adivinhar
não_faltar
não_proibir
não_abençoar
não_obrigar
não_avaliar
não_pescar
não_provocar
não_fumar
não_cagar
não_aplaudir
não_pesquisar
não_melhorar
não_adormecer
não_inventar
não_aumentar
não_sossegar
não_comparar
não_amanhecer
não_planejar
não_apertar
não_poupar
não_misturar
não_desanimar
não_engodar
